user,review_count,median_rating,max_rating,min_rating,mean_rating
StormKnight,1431,6,10,1,5.896925227113907
stormrover,588,7,10,2,7.209863945578231
stormseeker75,1301,7,10,1,6.53807148347425
StoryBoardGamer,822,6,10,3,6.437956204379562
Straight To Hell,1252,6,10,1,6.110223642172524
strangecolours,1024,7.5,9.25,1,7.212802734375
Strategos,670,7,9.5,3,6.9129850746268655
StratGladstone,519,7,10,2,6.520231213872832
strings,906,6.6,10,1,6.424503311258278
StriveMind,581,7,10,2,7.305507745266781
stroutqb22,770,6,10,1,5.900649350649351
strubs42,725,7,10,2,6.9478620689655175
stubby_jc,615,8,10,6,8.354471544715446
StupidRatCreature,835,6.5,10,2,6.374251497005988
sturla,845,7,9,3,6.82603550295858
Sturmo,554,7,10,2,7.063176895306859
styren,650,7,10,2,6.668461538461538
StyxParadox,793,6,10,2,6.270491803278689
Subaru77,592,7,10,1,6.874155405405405
sufertashu,997,5,10,1,5.3121364092276835
Sugata,644,6.5,7.5,3,6.329192546583851
sukhi729,523,6.5,10,2,6.480879541108987
summonschy,631,7,10,4,7.046434231378764
sumo,1873,7,10,1,6.539428723972237
sunburn18,534,8,10,1,7.371722846441948
sunshineng,959,7.3,10,1,7.3022940563086545
sunsplitter,594,5,10,1,5.380471380471381
Superfly3,696,8,10,1,8.267241379310345
supergtox,680,7.1,9.9,1,7.130338235294118
superjuanmarin,605,8.5,9.7,2,8.25206611570248
Superstigs,510,7,10,2,6.855882352941176
Surion,686,6.5,9.5,3,6.510204081632653
Surya,1626,6.7,10,1,6.509409594095941
svalladolid,1072,6,10,2,6.420242537313433
Svarthand,929,6,10,1,5.80032292787944
sveinmain,739,7,10,1,6.416102841677943
Sven Stratmann,1064,7,10,1,7.234962406015038
Svennos,625,7,10,2,6.9712
svetozar,658,8,10,1,7.806838905775076
SwatSh,1162,8,10,3,7.920826161790017
SwedeLad,927,6.5,10,1,6.327939590075513
sweetdaddypete,748,7.5,10,1,7.411096256684492
Sweetslut,596,7.5,10,2,7.599328859060403
sweetsweetdoughnuts,1231,6.5,10,1,6.171892770105605
swingjunkie,565,7,9.75,1,6.52083185840708
SybotCB,828,5,10,1,5.131642512077295
sydoniaa,767,6,10,1,6.349413298565841
Symposia95,582,6,10,1,5.995704467353952
Synnical77,583,6.9,9.5,1.01921,6.747884116638079
syphon,876,6,10,1,6.525114155251141
Sysyphuss,562,7,10,2,6.815836298932385
Sztefan,602,6,10,1,6.24750830564784
T-Mo,555,8,10,2,7.8297297297297295
t80u,623,7,10,1,7.06099518459069
taahaag,1091,6.5,10,1,6.1296975252062325
Table43,793,5.7,9.99,5,6.361354350567465
Tacchan,816,7,10,1,6.825367647058823
TaceoAgrotis,606,6,9,2,5.914191419141914
Taed,606,7,10,3,6.706270627062707
taffyslim,648,7,10,1,6.963024691358025
TaijiJohn,785,7.2,10,1,6.90859872611465
TaikaJim,548,7,10,1,6.357664233576642
tailz13,619,7.5,10,4,7.438610662358643
Takada,1403,6,10,1,5.551674982181041
Takezo Qc,974,7,10,2,6.772895277207392
takokawa,1247,6,9,2,6.391339214113874
takras,1114,7,10,1,6.836624775583483
TaliaIsabelle,1449,6,10,1,5.993098688750862
tallboy,708,7,9.5,2,6.561045197740113
Talldude,790,7,10,1,6.786708860759494
Taluagel,772,6.5,9,1,6.502849740932643
Tamara8888,529,8,10,5,7.725047258979206
Tamburlain,504,7,10,1,6.7156746031746035
Tanayan,607,7,10,5,6.804777594728171
tanis,950,6.5,9.5,1,6.559052631578948
tankbard,710,5.9,10,1,5.77943661971831
Tannjev,709,7,10,2,7.258110014104372
tanzania,665,7.5,10,1,7.296582676691729
Tapanote,910,7,10,1,6.630769230769231
TaquitoBandito,808,7,10,1,6.5334158415841586
taraba,551,6,9,1,6.163793103448276
taragalinas,1141,6,10,1,5.511831726555653
tasajara,1182,7,10,1,6.9550338409475465
Tatsu,546,6.5,10,1,6.586172161172161
tawny,900,7,9.7,3,6.853555555555555
Taxers,507,7,10,1,7.057593688362919
tbrown8239,549,7,9,3,6.611657559198543
tckoppang,671,6,10,2,6.184798807749627
tcmaka,504,7,10,2,7.3353174603174605
tdelme,1249,7,10,1,6.9698558847077665
Teach101,879,7,10,1,6.833333333333333
teal,700,7,9,3,6.922857142857143
TeChNoWC,728,7.2,10,1,6.993406593406593
ted44bertuzzi,657,7,10,1,6.789954337899544
tedacuen,509,7,10,1,6.787819253438114
teddz,805,6.9,10,3,6.883540372670807
Teeaniknik,710,7,10,1,6.890845070422535
Teico,820,7.4,9.4,1,7.300853658536585
Teiwaz,724,7,10,5,6.707182320441989
tempar,1457,7,10,1,6.566781056966369
tempus42,683,6,10,1,6.021961932650073
Teppolainen,680,6,10,1,5.703088235294118
tergene,541,7.25,10,3,7.311460258780037
TermiGator,657,7,10,3,7.017351598173516
Ternal2,1346,7,10,1,6.6268573551263
terpitude71,584,6,10,2,6.030821917808219
Terry Egan,1489,6,10,1,5.7857622565480185
terrystad,560,4,10,1,4.2625
Terwox,792,7.225,10,1,7.193838383838384
TetherGrane,500,7,10,2,6.918
Tetragrammaton,610,7,10,1,6.621311475409836
Tevildo,819,7,10,1,6.588522588522588
texasgeoker,1197,7,10,2,6.7924728487886386
texaswashington,501,7,9.9,2,6.8744451097804395
Texjets281,640,6,10,1,5.896875
tgbruiser,1231,7,10,2,7.149471974004874
tgodel,797,6,10,1,5.6260978670012545
tharkad,780,7,10,1,7.171153846153846
thatach,609,6,10,1,5.610509031198687
ThatFalafelGirl,507,7,10,1,6.673570019723866
thatthing1999,965,7,10,1,6.552331606217616
thaushur,769,6,10,1,6.382314694408323
thdizzy,630,7,10,2,6.806349206349206
The Barefoot Killer,510,7,10,1,6.566666666666666
the bored gamer,533,7,10,1.5,6.643621013133208
The Eraser,1736,10,10,1,9.764976958525345
The Gamester,1377,7,10,1,6.76797385620915
The Green Knight,547,7,10,3,6.882084095063985
The Innocent,798,8,10,2,7.4636591478696745
The MarshalUK,507,6.8,9.8,1,6.740631163708087
The Unbeliever,743,6,10,1,5.944818304172275
The_EyE,686,6.5,10,1,6.33467444606414
The_LoneWolf,546,6.7,10,1,6.735531135531136
the_spy,713,7,10,1,7.224403927068724
the_windcaster,545,7.75,9.5,1,7.547155963302752
theaaron,1318,6,10,1,5.847496206373293
TheBalrog,551,7,10,2,6.722323049001815
TheBardGamer,1836,10,10,10,10
TheBFG,576,6,10,2,5.971354166666667
TheBoardGameFamily,571,7,9.9,2,6.899824868651488
thebrainy,549,7,9.5,3,6.900728597449909
TheCat,572,6,10,1,5.9527972027972025
thed0n100,566,7,10,1,6.677561837455831
TheDarkKnight,653,7,10,3,6.934532924961715
thededalus,525,7,10,2,6.468571428571429
thefrenchwoman,568,7.5,10,1,7.384242957746479
thefungusguy,542,7,10,2,6.833025830258302
thegordonshow,936,6.5,10,2,6.402243589743589
theid,821,8,9.5,3,7.816686967113276
TheKillShirt,530,6,10,1,6.091509433962264
TheMaz,582,7,10,1,6.605670103092783
themilkcrate,748,7,10,2,6.86171256684492
TheMonkeyBear,501,7,10,1,6.8373253493013975
themore5@earthlink,554,6,9.5,3,6.367328519855596
theoclarke,1637,7,10,1,6.665241295051924
thephantomhennes,504,7,10,3,6.903769841269841
theras2000,799,7,10,2,6.871088861076346
Theratcatcher,761,5,10,1,4.639947437582129
thermogimp,512,7.5,10,3,7.35546875
theSandmanCymru,499,8,10,3,7.965931863727455
TheShobo,681,6.75,10,1,6.593979441997063
TheSolarGarlic,959,6,10,1,6.293430656934307
Thesp,1005,7,10,1,6.958955223880597
Thespios,551,6,10,1,6.190562613430127
thetba,870,7,10,1,6.638505747126437
TheTerror987,683,6.75,10,1.5,6.699121522693997
TheWTM,506,7,10,1,6.6857707509881426
thiagbs,507,7,9.5,1,7.019723865877712
Thigr,673,6.5,10,1,6.590638930163447
Thing12Games,541,8,10,1,7.5258780036968576
Thisisnotasmile,539,7,10,2,6.859925788497217
Thlayli,675,6,9,1,5.907407407407407
thoia,1631,6,10,1,6.087676272225629
thom_br,582,7,9.5,2,6.965292096219931
Thomas72,875,6,9,2,6.064571428571429
thomasdean007,506,7,10,1,6.42193675889328
thomasdv,617,7,10,2,6.46677471636953
ThomasinNY,797,6.5,10,1,6.385821831869511
thomson,558,7.5,10,3,7.392114695340502
Thorwolf,1201,6,10,1,5.6036636136552875
Thosw,627,6,9,2,6.047846889952153
thrasymachus,541,7,10,1,7.019408502772643
Thrift Thopter,832,7,10,1,7.183493389423077
Throat_Rip,633,6,10,3,6.399684044233807
Thrylos,1690,8,10,1,7.530769230769231
